Strongly Disagree,Disagree,Neutral,Agree,Strongly Agree,N/A,Question,Subtable,SubQuestion
10,17,8,23,10,0,Expert,Tech Rating,Q31b
70,251,277,163,68,89,All Responses,,Q31c
10,54,57,22,10,16,GSBPP,School,Q31c
24,56,76,38,17,23,GSEAS,School,Q31c
18,83,95,63,29,28,GSOIS,School,Q31c
1,8,6,3,2,3,Provost,School,Q31c
17,50,43,36,10,18,SIGS,School,Q31c
17,54,59,31,23,22,20-30,Age Group,Q31c
18,76,92,57,20,28,30-35,Age Group,Q31c
16,59,74,45,15,20,35-40,Age Group,Q31c
11,44,31,15,3,12,41+,Age Group,Q31c
8,18,21,14,7,6,Unknown,Age Group,Q31c
0,1,0,1,0,79,No Rating,Tech Rating,Q31c
1,0,4,1,1,0,Not Like Computers,Tech Rating,Q31c
12,41,36,18,8,2,Basic,Tech Rating,Q31c
36,115,134,91,28,6,Intermediate,Tech Rating,Q31c
15,72,78,46,21,1,Advanced,Tech Rating,Q31c
6,22,25,5,10,0,Expert,Tech Rating,Q31c
50,197,247,218,121,85,All Responses,,Q31d
6,40,59,33,15,16,GSBPP,School,Q31d
10,59,66,53,24,22,GSEAS,School,Q31d
17,55,73,84,60,27,GSOIS,School,Q31d
0,6,5,5,4,3,Provost,School,Q31d
17,37,44,42,18,16,SIGS,School,Q31d
11,48,51,39,36,21,20-30,Age Group,Q31d
14,54,86,74,37,26,30-35,Age Group,Q31d
16,43,66,58,24,22,35-40,Age Group,Q31d
7,38,25,25,11,10,41+,Age Group,Q31d
2,14,19,21,13,5,Unknown,Age Group,Q31d
0,0,1,0,1,79,No Rating,Tech Rating,Q31d
1,3,2,0,1,0,Not Like Computers,Tech Rating,Q31d
10,30,33,33,9,2,Basic,Tech Rating,Q31d
25,95,123,107,57,3,Intermediate,Tech Rating,Q31d
11,53,66,66,37,0,Advanced,Tech Rating,Q31d
3,16,22,11,16,0,Expert,Tech Rating,Q31d
324,224,84,147,54,85,All Responses,,Q32
56,47,16,25,9,16,GSBPP,School,Q32
85,61,24,30,12,22,GSEAS,School,Q32
108,73,28,62,19,26,GSOIS,School,Q32
8,8,1,3,0,3,Provost,School,Q32
67,35,14,27,14,17,SIGS,School,Q32
74,49,25,27,8,23,20-30,Age Group,Q32
117,63,22,48,17,24,30-35,Age Group,Q32
84,56,20,40,10,19,35-40,Age Group,Q32
36,32,9,17,10,12,41+,Age Group,Q32
13,24,7,15,9,6,Unknown,Age Group,Q32
0,0,0,0,0,81,No Rating,Tech Rating,Q32
3,0,1,0,3,0,Not Like Computers,Tech Rating,Q32
37,37,17,20,6,0,Basic,Tech Rating,Q32
158,106,41,77,27,1,Intermediate,Tech Rating,Q32
95,67,18,39,12,2,Advanced,Tech Rating,Q32
31,14,6,11,6,0,Expert,Tech Rating,Q32
142,194,118,267,115,82,All Responses,,Q33
19,41,20,48,26,15,GSBPP,School,Q33
40,39,35,70,28,22,GSEAS,School,Q33
49,73,39,85,45,25,GSOIS,School,Q33
2,6,3,7,2,3,Provost,School,Q33
32,35,20,57,14,16,SIGS,School,Q33
35,45,29,51,23,23,20-30,Age Group,Q33
51,57,35,89,35,24,30-35,Age Group,Q33
37,51,27,62,33,19,35-40,Age Group,Q33
10,24,12,45,15,10,41+,Age Group,Q33
9,17,14,20,9,5,Unknown,Age Group,Q33
0,0,0,0,0,81,No Rating,Tech Rating,Q33
1,1,1,2,2,0,Not Like Computers,Tech Rating,Q33
16,24,18,43,16,0,Basic,Tech Rating,Q33
64,104,57,130,55,0,Intermediate,Tech Rating,Q33
41,52,32,75,33,0,Advanced,Tech Rating,Q33
20,13,9,17,9,0,Expert,Tech Rating,Q33
49,88,147,377,174,83,All Responses,,Q34
9,17,26,69,33,15,GSBPP,School,Q34
16,28,38,96,34,22,GSEAS,School,Q34
14,31,54,125,67,25,GSOIS,School,Q34
3,1,5,5,6,3,Provost,School,Q34
7,11,24,81,34,17,SIGS,School,Q34
10,25,32,90,26,23,20-30,Age Group,Q34
18,34,45,114,56,24,30-35,Age Group,Q34
14,15,41,94,46,19,35-40,Age Group,Q34
5,7,18,50,25,11,41+,Age Group,Q34
2,7,11,28,21,5,Unknown,Age Group,Q34
0,0,0,0,0,81,No Rating,Tech Rating,Q34
1,0,1,2,3,0,Not Like Computers,Tech Rating,Q34
3,7,22,63,22,0,Basic,Tech Rating,Q34
24,39,69,187,90,1,Intermediate,Tech Rating,Q34
17,32,48,93,43,0,Advanced,Tech Rating,Q34
4,10,7,31,16,0,Expert,Tech Rating,Q34
130,214,153,253,86,82,All Responses,,Q35
21,43,29,38,23,15,GSBPP,School,Q35
32,63,44,57,16,22,GSEAS,School,Q35
47,64,53,96,31,25,GSOIS,School,Q35
4,4,6,5,1,3,Provost,School,Q35
26,40,21,56,15,16,SIGS,School,Q35
29,52,35,46,21,23,20-30,Age Group,Q35
48,66,47,77,29,24,30-35,Age Group,Q35
35,49,41,65,20,19,35-40,Age Group,Q35
14,29,16,38,9,10,41+,Age Group,Q35
4,18,14,26,7,5,Unknown,Age Group,Q35
0,0,0,0,0,81,No Rating,Tech Rating,Q35
1,2,3,0,1,0,Not Like Computers,Tech Rating,Q35
14,27,22,41,13,0,Basic,Tech Rating,Q35
56,105,77,128,44,0,Intermediate,Tech Rating,Q35
40,61,44,66,22,0,Advanced,Tech Rating,Q35
19,19,7,17,6,0,Expert,Tech Rating,Q35
90,182,195,247,121,83,All Responses,,Q36
8,38,35,46,26,16,GSBPP,School,Q36
23,45,53,62,29,22,GSEAS,School,Q36
23,58,72,92,46,25,GSOIS,School,Q36
5,5,4,3,3,3,Provost,School,Q36
31,36,31,43,17,16,SIGS,School,Q36
14,41,46,52,30,23,20-30,Age Group,Q36
29,53,59,83,42,25,30-35,Age Group,Q36
20,46,52,63,29,19,35-40,Age Group,Q36
19,29,22,24,12,10,41+,Age Group,Q36
8,13,16,24,8,5,Unknown,Age Group,Q36
0,0,0,0,0,81,No Rating,Tech Rating,Q36
0,2,1,3,1,0,Not Like Computers,Tech Rating,Q36
15,22,32,34,14,0,Basic,Tech Rating,Q36
46,98,97,116,52,1,Intermediate,Tech Rating,Q36
24,50,49,69,41,0,Advanced,Tech Rating,Q36
5,10,16,24,13,0,Expert,Tech Rating,Q36
